cveId,componentType,problemReasons,sourceName,sourceUrl,cvssVersion,vectorString,baseScore,baseSeverity,attackVector,attackComplexity,privilegesRequired,userInteraction,scope,confidentialityImpact,integrityImpact,availabilityImpact,notes
CVE-2024-0985,CPostgresql,,NVD,,3.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H,8.0,HIGH,NETWORK,LOW,LOW,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH,
CVE-2024-10976,CPostgresql,,NVD,,3.1,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:L/A:N,4.2,MEDIUM,NETWORK,HIGH,LOW,NONE,UNCHANGED,LOW,LOW,NONE,
CVE-2024-10977,CPostgresql,,NVD,,3.1,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:N/I:L/A:N,3.1,LOW,NETWORK,HIGH,NONE,REQUIRED,UNCHANGED,NONE,LOW,NONE,
CVE-2024-10978,CPostgresql,,NVD,,3.1,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:L/A:N,4.2,MEDIUM,NETWORK,HIGH,LOW,NONE,UNCHANGED,LOW,LOW,NONE,
CVE-2024-10979,CPostgresql,,NVD,,3.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,8.8,HIGH,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,
CVE-2024-7348,CPostgresql,,NVD,,3.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,8.8,HIGH,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,
CVE-2025-1094,CPostgresql,,NVD,,3.1,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,8.1,HIGH,NETWORK,HIGH,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,
CVE-2022-24834,CRedis,,NVD,,3.1,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,7.0,HIGH,LOCAL,HIGH,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,
CVE-2022-36021,CRedis,,NVD,,3.1,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,5.5,MEDIUM,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,NONE,HIGH,
CVE-2023-25155,CRedis,,NVD,,3.1,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,5.5,MEDIUM,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,NONE,HIGH,
CVE-2023-28856,CRedis,,NVD,,3.1,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,5.5,MEDIUM,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,NONE,HIGH,
CVE-2023-45145,CRedis,,NVD,,3.1,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:L/I:L/A:N,3.6,LOW,LOCAL,HIGH,LOW,NONE,UNCHANGED,LOW,LOW,NONE,
CVE-2024-31449,CRedis,,NVD,,3.1,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,7.0,HIGH,LOCAL,HIGH,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,
CVE-2024-46981,CRedis,,NVD,,3.1,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,7.0,HIGH,LOCAL,HIGH,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,
CVE-2025-21605,CRedis,,NVD,,3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,HIGH,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,
CVE-2025-32023,CRedis,,NVD,,3.1,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,7.0,HIGH,LOCAL,HIGH,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,
CVE-2025-62507,CRedis,,NVD,,3.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,8.8,HIGH,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,
